nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
6227,0,0,4747,0,1282,686,9075,0,10,0,50,2025-04-15T16:00:00.000Z
6311,0,0,4656,0,1294,714,9649,0,10,74,0,2025-04-15T17:00:00.000Z
6315,0,0,4540,0,1241,645,9660,0,10,21,0,2025-04-15T18:00:00.000Z
6351,0,0,4328,0,1452,850,9541,0,8,0,0,2025-04-15T19:00:00.000Z
6382,0,0,4178,1,1400,1232,9332,0,7,0,0,2025-04-15T20:00:00.000Z
6407,0,0,3975,1,1714,1319,9228,0,5,261,0,2025-04-15T21:00:00.000Z
6484,0,0,3990,1,1239,1531,9553,0,3,569,0,2025-04-15T22:00:00.000Z
6552,0,0,4278,1,305,1789,10410,0,3,1125,57,2025-04-15T23:00:00.000Z
6519,0,0,4263,1,299,1807,10391,0,3,1120,57,2025-04-16T00:00:00.000Z
6516,0,0,4139,1,0,1615,10182,0,3,961,28,2025-04-16T01:00:00.000Z
6533,0,0,4005,0,0,1376,9524,0,4,567,17,2025-04-16T02:00:00.000Z
6481,0,0,3836,0,0,1207,8725,0,5,215,5,2025-04-16T03:00:00.000Z
6385,0,0,3677,0,0,1105,8007,0,4,5,2,2025-04-16T04:00:00.000Z
6247,0,0,3528,0,0,1056,7555,0,6,0,0,2025-04-16T05:00:00.000Z
6447,0,0,3662,0,0,1280,7853,0,2,0,0,2025-04-16T06:00:00.000Z
6824,0,0,3756,0,0,1058,8187,0,2,0,0,2025-04-16T07:00:00.000Z
6872,0,0,3770,0,0,1044,8269,0,2,0,0,2025-04-16T08:00:00.000Z
6969,0,0,3949,0,0,1066,8695,0,2,0,7,2025-04-16T09:00:00.000Z
7032,0,0,4341,0,0,1156,9591,0,2,234,32,2025-04-16T10:00:00.000Z
7039,0,0,4671,0,417,1199,10234,3,2,440,58,2025-04-16T11:00:00.000Z
7046,0,0,4304,0,1016,1137,9763,6,2,384,18,2025-04-16T12:00:00.000Z
7045,0,0,4087,0,1767,1070,9117,2,2,161,7,2025-04-16T13:00:00.000Z
7043,0,0,4031,0,1999,1049,9027,0,2,32,7,2025-04-16T14:00:00.000Z
7044,0,0,4048,0,2138,1047,9002,0,1,0,0,2025-04-16T15:00:00.000Z
