nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
26,0,79,55,3124,429,457,63,10,3,1,0,2025-04-15T16:00:00.000Z
34,0,81,60,2633,108,619,86,12,4,1,0,2025-04-15T17:00:00.000Z
38,0,81,51,2742,11,598,67,11,4,1,0,2025-04-15T18:00:00.000Z
52,0,74,41,2686,5,511,52,13,5,1,0,2025-04-15T19:00:00.000Z
57,0,71,39,2688,5,574,52,7,5,1,0,2025-04-15T20:00:00.000Z
63,0,72,37,2459,5,597,49,7,6,1,0,2025-04-15T21:00:00.000Z
75,0,62,40,2111,4,651,55,7,6,1,0,2025-04-15T22:00:00.000Z
72,0,59,47,1664,3,639,70,9,6,1,0,2025-04-15T23:00:00.000Z
68,0,68,65,1262,1,632,105,15,6,1,0,2025-04-16T00:00:00.000Z
72,0,63,58,1057,1,617,92,9,8,1,0,2025-04-16T01:00:00.000Z
63,0,69,24,726,0,360,39,4,4,1,0,2025-04-16T02:00:00.000Z
42,0,92,16,561,0,299,30,3,3,0,0,2025-04-16T03:00:00.000Z
38,0,117,17,527,2,355,37,3,2,1,0,2025-04-16T04:00:00.000Z
40,0,139,28,554,34,422,86,4,4,14,0,2025-04-16T05:00:00.000Z
38,0,250,34,595,180,766,92,6,4,32,0,2025-04-16T06:00:00.000Z
49,0,340,74,732,530,1144,135,11,6,31,0,2025-04-16T07:00:00.000Z
63,0,265,95,570,1025,1100,113,13,9,26,0,2025-04-16T08:00:00.000Z
61,0,204,79,406,1426,1103,90,15,9,25,0,2025-04-16T09:00:00.000Z
68,0,195,100,309,1689,921,87,19,10,23,0,2025-04-16T10:00:00.000Z
50,0,198,90,274,1761,809,83,18,7,20,0,2025-04-16T11:00:00.000Z
53,0,197,86,258,1676,929,79,17,7,23,0,2025-04-16T12:00:00.000Z
45,0,131,58,186,1077,689,57,11,5,18,0,2025-04-16T13:00:00.000Z
45,0,97,43,111,576,531,42,8,5,12,0,2025-04-16T14:00:00.000Z
65,0,120,56,131,391,576,53,8,6,12,0,2025-04-16T15:00:00.000Z
