nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
0,3,0,121,702,809,4,104,0,0,0,0,2025-04-15T16:00:00.000Z
0,2,0,104,617,770,4,85,0,0,0,0,2025-04-15T17:00:00.000Z
0,2,0,110,622,856,4,108,0,0,0,0,2025-04-15T18:00:00.000Z
0,2,0,109,564,850,4,85,0,0,0,0,2025-04-15T19:00:00.000Z
0,1,0,115,577,842,4,107,0,0,0,0,2025-04-15T20:00:00.000Z
0,2,0,107,513,742,4,73,0,2,0,0,2025-04-15T21:00:00.000Z
0,1,0,120,628,779,4,107,0,3,0,0,2025-04-15T22:00:00.000Z
0,2,0,153,1041,912,6,112,0,0,0,0,2025-04-15T23:00:00.000Z
0,3,0,204,1155,1015,17,133,0,0,0,0,2025-04-16T00:00:00.000Z
0,3,0,225,1123,635,26,227,0,0,0,316,2025-04-16T01:00:00.000Z
0,3,0,195,1063,0,19,221,0,0,0,328,2025-04-16T02:00:00.000Z
0,3,0,167,1067,0,12,214,0,0,0,298,2025-04-16T03:00:00.000Z
0,3,0,177,1063,0,13,218,0,0,0,212,2025-04-16T04:00:00.000Z
0,4,0,229,1144,0,22,225,0,0,0,0,2025-04-16T05:00:00.000Z
0,4,0,209,1154,0,18,216,0,0,0,0,2025-04-16T06:00:00.000Z
0,3,0,190,1060,0,14,164,0,0,0,0,2025-04-16T07:00:00.000Z
0,4,0,149,1032,0,14,131,0,0,0,0,2025-04-16T08:00:00.000Z
0,6,0,151,1407,0,6,195,0,0,0,0,2025-04-16T09:00:00.000Z
0,6,0,152,1374,0,6,200,0,0,0,0,2025-04-16T10:00:00.000Z
0,6,0,152,1294,0,6,219,0,0,0,0,2025-04-16T11:00:00.000Z
0,6,0,156,1246,729,6,243,0,0,0,56,2025-04-16T12:00:00.000Z
0,6,0,156,1225,1038,6,218,0,0,0,76,2025-04-16T13:00:00.000Z
0,5,0,153,1083,1676,6,38,0,0,0,0,2025-04-16T14:00:00.000Z
0,4,0,144,1008,1881,5,0,0,0,0,0,2025-04-16T15:00:00.000Z
