nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
0,0,0,0,163,0,1140,0,0,6,0,0,2025-04-15T16:00:00.000Z
0,0,0,0,202,0,923,0,0,5,0,0,2025-04-15T17:00:00.000Z
0,0,0,0,353,0,963,0,0,5,0,0,2025-04-15T18:00:00.000Z
0,0,0,0,455,0,703,0,0,5,0,0,2025-04-15T19:00:00.000Z
0,0,0,0,648,0,842,0,0,7,0,0,2025-04-15T20:00:00.000Z
0,0,0,0,625,0,698,0,0,7,0,0,2025-04-15T21:00:00.000Z
0,0,0,0,568,0,604,0,0,7,0,0,2025-04-15T22:00:00.000Z
0,0,0,0,578,0,599,0,0,7,0,0,2025-04-15T23:00:00.000Z
0,0,0,0,612,0,647,0,0,7,0,0,2025-04-16T00:00:00.000Z
0,0,0,0,615,0,702,1,0,8,0,0,2025-04-16T01:00:00.000Z
0,0,0,0,535,0,725,0,0,8,0,0,2025-04-16T02:00:00.000Z
0,0,0,0,475,0,763,0,0,7,0,0,2025-04-16T03:00:00.000Z
0,0,0,0,434,0,951,0,0,7,0,0,2025-04-16T04:00:00.000Z
0,0,0,0,343,0,984,0,0,7,0,0,2025-04-16T05:00:00.000Z
0,0,0,0,223,1,996,0,0,7,0,0,2025-04-16T06:00:00.000Z
0,0,0,0,129,2,1099,0,0,7,0,0,2025-04-16T07:00:00.000Z
0,0,0,0,93,2,969,0,0,6,0,0,2025-04-16T08:00:00.000Z
0,0,0,0,106,2,813,0,0,5,0,0,2025-04-16T09:00:00.000Z
0,0,0,0,133,2,705,0,0,5,0,0,2025-04-16T10:00:00.000Z
0,0,0,0,191,2,751,0,0,6,0,0,2025-04-16T11:00:00.000Z
0,0,0,0,150,2,519,0,0,4,0,0,2025-04-16T12:00:00.000Z
0,0,0,0,107,1,370,0,0,3,0,0,2025-04-16T13:00:00.000Z
0,0,0,0,80,0,276,0,0,2,0,0,2025-04-16T14:00:00.000Z
0,0,0,0,77,0,278,0,0,2,0,0,2025-04-16T15:00:00.000Z
