nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
4,7,0,39,101,660,1600,120,1,71,0,0,2025-04-15T16:00:00.000Z
5,7,1,38,113,715,1486,117,1,72,0,0,2025-04-15T17:00:00.000Z
5,7,1,40,120,734,1373,129,1,72,0,0,2025-04-15T18:00:00.000Z
5,8,1,39,129,745,1343,129,1,70,0,0,2025-04-15T19:00:00.000Z
5,7,1,39,136,719,1327,141,1,69,0,0,2025-04-15T20:00:00.000Z
4,7,1,35,129,695,1341,146,1,70,0,0,2025-04-15T21:00:00.000Z
4,6,1,34,135,660,1325,143,1,71,0,0,2025-04-15T22:00:00.000Z
3,6,0,38,156,607,1430,139,1,71,0,0,2025-04-15T23:00:00.000Z
0,3,0,21,152,508,1641,115,1,77,0,0,2025-04-16T00:00:00.000Z
0,2,1,26,143,308,1872,132,1,79,0,6,2025-04-16T01:00:00.000Z
0,3,2,52,175,196,1948,149,1,79,0,16,2025-04-16T02:00:00.000Z
0,3,0,63,225,0,1971,156,2,79,0,16,2025-04-16T03:00:00.000Z
0,3,0,49,257,0,1870,142,2,78,0,10,2025-04-16T04:00:00.000Z
0,3,0,35,264,0,1740,130,2,76,0,3,2025-04-16T05:00:00.000Z
0,2,0,23,249,0,1654,122,2,76,0,0,2025-04-16T06:00:00.000Z
0,3,0,25,241,0,1559,124,2,72,0,0,2025-04-16T07:00:00.000Z
0,3,0,25,233,0,1559,127,2,73,0,0,2025-04-16T08:00:00.000Z
0,0,0,0,168,0,360,0,0,46,0,0,2025-04-16T09:00:00.000Z
0,0,0,0,159,0,361,0,0,48,0,0,2025-04-16T10:00:00.000Z
0,0,0,0,144,0,358,0,0,51,0,0,2025-04-16T11:00:00.000Z
0,0,0,0,141,0,363,0,0,50,0,0,2025-04-16T12:00:00.000Z
0,0,0,0,149,143,366,0,0,47,0,0,2025-04-16T13:00:00.000Z
0,0,0,0,150,218,363,0,0,46,0,0,2025-04-16T14:00:00.000Z
0,0,0,0,128,365,342,0,0,45,0,0,2025-04-16T15:00:00.000Z
