nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
62,0,122,312,1317,26,67,1949,52,7,0,0,2025-04-15T16:00:00.000Z
63,0,125,316,1296,21,71,1983,53,9,0,0,2025-04-15T17:00:00.000Z
74,0,130,318,1224,13,74,2012,53,9,0,0,2025-04-15T18:00:00.000Z
93,0,143,335,1108,2,81,2134,56,7,1,0,2025-04-15T19:00:00.000Z
105,0,141,311,1168,0,79,1989,52,8,1,0,2025-04-15T20:00:00.000Z
68,0,118,290,1102,0,66,1777,49,6,0,0,2025-04-15T21:00:00.000Z
70,0,114,275,1080,0,63,1644,46,5,0,0,2025-04-15T22:00:00.000Z
133,0,117,255,1164,0,73,1544,43,4,0,0,2025-04-15T23:00:00.000Z
144,0,101,240,1170,0,73,1454,40,6,0,0,2025-04-16T00:00:00.000Z
139,0,96,233,1158,0,72,1418,39,12,0,0,2025-04-16T01:00:00.000Z
131,0,94,234,1219,0,69,1423,39,7,0,0,2025-04-16T02:00:00.000Z
118,0,87,214,1331,0,64,1305,36,5,0,0,2025-04-16T03:00:00.000Z
110,0,81,198,1424,0,59,1206,33,3,0,0,2025-04-16T04:00:00.000Z
74,0,82,227,1418,0,57,1353,38,4,1,0,2025-04-16T05:00:00.000Z
77,0,92,258,1507,2,64,1556,44,13,2,0,2025-04-16T06:00:00.000Z
91,0,103,283,1635,16,74,1724,48,16,2,0,2025-04-16T07:00:00.000Z
91,0,104,286,1799,36,73,1740,48,12,1,0,2025-04-16T08:00:00.000Z
90,0,91,245,2023,62,65,1489,41,7,1,0,2025-04-16T09:00:00.000Z
68,0,88,250,2053,64,59,1487,42,7,0,0,2025-04-16T10:00:00.000Z
57,0,91,267,1997,69,57,1578,45,8,0,0,2025-04-16T11:00:00.000Z
69,0,84,237,2043,98,51,1405,40,5,0,0,2025-04-16T12:00:00.000Z
73,0,82,227,1982,111,52,1352,38,4,0,0,2025-04-16T13:00:00.000Z
72,0,82,227,1982,111,52,1352,38,4,0,0,2025-04-16T14:00:00.000Z
75,0,86,238,2053,95,56,1428,40,5,0,0,2025-04-16T15:00:00.000Z
