nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
4380,0,0,3499,317,1074,2187,5829,0,43,0,1,2025-04-15T16:00:00.000Z
4424,0,0,3520,331,1092,2143,5793,0,42,2,0,2025-04-15T17:00:00.000Z
4552,0,0,3520,317,1084,1733,5958,1,43,1,0,2025-04-15T18:00:00.000Z
4575,0,0,3524,338,1097,1680,6313,2,46,0,0,2025-04-15T19:00:00.000Z
4611,0,0,3576,358,1124,1697,6404,2,49,0,0,2025-04-15T20:00:00.000Z
4655,0,0,3592,349,1151,1917,6499,5,50,7,0,2025-04-15T21:00:00.000Z
4658,0,0,3500,343,968,2323,6480,5,50,21,0,2025-04-15T22:00:00.000Z
4751,0,0,3448,244,372,2810,6613,5,49,51,2,2025-04-15T23:00:00.000Z
4632,0,0,3355,168,345,2792,6464,2,44,57,2,2025-04-16T00:00:00.000Z
4645,0,0,3370,179,0,2655,6419,1,44,43,1,2025-04-16T01:00:00.000Z
4649,0,0,3337,236,0,2313,5985,1,45,18,1,2025-04-16T02:00:00.000Z
4672,0,0,3251,278,0,2048,5565,2,45,6,0,2025-04-16T03:00:00.000Z
4711,0,0,3185,319,0,1852,5080,1,45,0,0,2025-04-16T04:00:00.000Z
4717,0,0,3078,341,0,1698,4894,1,45,0,0,2025-04-16T05:00:00.000Z
4505,0,0,2896,341,0,1687,4468,0,26,0,0,2025-04-16T06:00:00.000Z
4175,0,0,2489,0,0,1673,3826,0,22,0,0,2025-04-16T07:00:00.000Z
4177,0,0,2526,0,0,1642,3944,0,22,0,0,2025-04-16T08:00:00.000Z
4188,0,0,2675,0,0,1718,4201,0,22,0,0,2025-04-16T09:00:00.000Z
4191,0,0,2813,0,0,1836,4938,0,22,0,0,2025-04-16T10:00:00.000Z
4191,0,0,2869,0,301,2034,5680,0,22,0,0,2025-04-16T11:00:00.000Z
4190,0,0,2876,0,498,2120,5568,0,22,0,0,2025-04-16T12:00:00.000Z
4190,0,0,2836,0,798,2195,4951,0,21,0,0,2025-04-16T13:00:00.000Z
4188,0,0,2816,0,907,2177,4860,0,21,0,0,2025-04-16T14:00:00.000Z
4184,0,0,2785,0,928,2210,4865,0,21,0,0,2025-04-16T15:00:00.000Z
