nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
6117,0,0,1901,5,798,142,2431,0,68,0,0,2025-04-15T16:00:00.000Z
6125,0,0,1938,5,1013,138,2432,0,69,1,0,2025-04-15T17:00:00.000Z
6071,0,0,1966,5,1082,138,2377,0,63,0,0,2025-04-15T18:00:00.000Z
6046,0,0,1922,5,1089,157,2395,0,57,0,0,2025-04-15T19:00:00.000Z
5956,0,0,1871,6,1007,172,2361,0,49,0,0,2025-04-15T20:00:00.000Z
5840,0,0,1878,7,807,223,2344,1,37,21,0,2025-04-15T21:00:00.000Z
5551,0,0,1839,11,384,358,2320,1,16,467,0,2025-04-15T22:00:00.000Z
5378,0,0,1773,11,51,428,2362,1,15,914,0,2025-04-15T23:00:00.000Z
5353,0,0,1759,6,2,429,2344,1,15,913,0,2025-04-16T00:00:00.000Z
5415,0,0,1740,6,0,367,2336,1,15,478,0,2025-04-16T01:00:00.000Z
5459,0,0,1642,5,0,287,2138,1,15,5,0,2025-04-16T02:00:00.000Z
5306,0,0,1464,2,0,211,1754,0,14,2,0,2025-04-16T03:00:00.000Z
5139,0,0,1318,0,0,164,1594,0,14,0,0,2025-04-16T04:00:00.000Z
4961,0,0,1201,0,0,154,1485,0,14,0,0,2025-04-16T05:00:00.000Z
5312,0,0,1119,0,0,142,1294,0,7,0,0,2025-04-16T06:00:00.000Z
5305,0,0,1088,0,0,144,1275,0,7,0,0,2025-04-16T07:00:00.000Z
5339,0,0,1108,0,0,144,1332,0,7,0,0,2025-04-16T08:00:00.000Z
5607,0,0,1275,0,0,172,1552,0,7,0,0,2025-04-16T09:00:00.000Z
6122,0,0,1601,0,45,245,1882,0,8,105,0,2025-04-16T10:00:00.000Z
6122,0,0,1761,0,76,272,1957,0,8,455,0,2025-04-16T11:00:00.000Z
6122,0,0,1745,0,223,257,1922,0,8,62,0,2025-04-16T12:00:00.000Z
5937,0,0,1589,0,351,216,1763,0,8,0,0,2025-04-16T13:00:00.000Z
5821,0,0,1472,0,442,210,1624,0,8,0,0,2025-04-16T14:00:00.000Z
5749,0,0,1401,0,525,200,1611,0,8,0,0,2025-04-16T15:00:00.000Z
