nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
26977,0,0,12333,8170,4646,1195,27968,485,972,0,0,2025-04-15T16:00:00.000Z
26940,0,0,11886,7864,4840,1019,28260,476,996,0,0,2025-04-15T17:00:00.000Z
26946,0,0,12038,7589,4942,992,29106,424,1001,0,0,2025-04-15T18:00:00.000Z
26905,0,0,11797,7578,5493,996,28540,488,1003,0,0,2025-04-15T19:00:00.000Z
26885,0,0,11518,7504,5706,967,28059,454,997,0,0,2025-04-15T20:00:00.000Z
26919,0,0,11346,7552,5375,1608,27835,750,985,0,0,2025-04-15T21:00:00.000Z
26893,0,0,11961,7490,3485,2549,29175,678,990,2,12,2025-04-15T22:00:00.000Z
26906,0,0,12642,6966,1788,3570,31470,732,1002,5,13,2025-04-15T23:00:00.000Z
27124,0,0,13307,6366,75,4598,33895,795,1024,5,14,2025-04-16T00:00:00.000Z
27090,0,0,13855,5680,15,4212,33317,615,1011,3,1,2025-04-16T01:00:00.000Z
27108,0,0,13195,5397,15,3339,31688,624,778,0,0,2025-04-16T02:00:00.000Z
27141,0,0,12855,4502,15,1874,30610,670,705,0,0,2025-04-16T03:00:00.000Z
27129,0,0,13003,4202,15,1289,29330,260,715,0,0,2025-04-16T04:00:00.000Z
26992,0,0,12906,4576,14,948,28669,210,715,0,0,2025-04-16T05:00:00.000Z
26960,0,0,12869,4352,15,871,28538,279,682,0,0,2025-04-16T06:00:00.000Z
27101,0,0,12702,4300,15,874,28491,305,677,0,0,2025-04-16T07:00:00.000Z
27235,0,0,12535,4349,15,958,28419,326,716,0,0,2025-04-16T08:00:00.000Z
27296,0,0,12490,3902,15,2063,30944,805,993,0,0,2025-04-16T09:00:00.000Z
27477,0,0,13277,3649,24,3620,34076,1003,1011,0,1,2025-04-16T10:00:00.000Z
27555,0,0,13845,3048,1470,4384,35889,951,1012,0,12,2025-04-16T11:00:00.000Z
27334,0,0,13075,2651,5957,3173,34179,766,1000,0,2,2025-04-16T12:00:00.000Z
27136,0,0,12958,2596,5906,3151,33921,761,993,0,2,2025-04-16T13:00:00.000Z
26986,0,0,12668,2504,7034,2392,32813,710,927,0,1,2025-04-16T14:00:00.000Z
26990,0,0,12679,2598,7680,1942,32349,702,859,0,1,2025-04-16T15:00:00.000Z
