platform,VM_instance,CPU_freq,n_vCPU,mem_size_GB,datasize,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr
AWS,r3.xlarge,2.5,4,32.749069999999996,small,3284919977,wordcount,2025-04-22T00:00:00.000Z,118.045,13380413.166666666,42.59083333333333,36.64125
AWS,r4.large,2.3,2,16.374534999999998,small,743933336,aggregation,2025-04-22T00:00:00.000Z,223.272,11061609.739130436,70.64065217391307,88.44304347826088
AWS,r3.large,2.5,2,16.106099999999998,medium,128134600,als,2025-04-22T00:00:00.000Z,203.374,11280526.095238095,72.0054761904762,78.15523809523809
AWS,c3.large,2.8,2,4.0265249999999995,small,3777029616,join,2025-04-22T00:00:00.000Z,234.794,3534506.638297872,91.68978723404256,75.50723404255318
AWS,c3.xlarge,2.8,4,7.516179999999999,medium,128134600,als,2025-04-22T00:00:00.000Z,326.265,5987100.0,78.16602941176471,25.48573529411765
AWS,c3.large,2.8,2,4.0265249999999995,large,395478955,pagerank,2025-04-22T00:00:00.000Z,955.339,3706276.5863874345,96.14591623036652,84.73298429319372
AWS,c4.xlarge,2.9,4,8.053049999999999,medium,128134600,als,2025-04-22T00:00:00.000Z,90.097,6156953.263157895,80.38368421052631,75.61368421052632
AWS,r3.xlarge,2.5,4,32.749069999999996,large,200168800,als,2025-04-22T00:00:00.000Z,154.058,15161779.875,48.26125,71.7134375
AWS,c3.xlarge,2.8,4,7.516179999999999,medium,743933049,aggregation,2025-04-22T00:00:00.000Z,136.296,5959190.75862069,77.80137931034481,71.82034482758623
AWS,r3.2xlarge,2.5,8,65.49813999999999,large,3777029616,join,2025-04-22T00:00:00.000Z,292.25,20495560.5,32.57607142857143,17.471964285714286
AWS,m3.2xlarge,2.6,8,32.212199999999996,large,743932993,aggregation,2025-04-22T00:00:00.000Z,98.019,21250983.80952381,68.81047619047618,58.09904761904762
AWS,m4.large,2.4,2,8.58992,medium,1209030600,lr,2025-04-22T00:00:00.000Z,831.383,7479065.055214724,91.480490797546,81.87631901840491
AWS,m4.large,2.4,2,8.58992,large,1612040600,lr,2025-04-22T00:00:00.000Z,251.349,7490892.549019608,91.62470588235296,71.28960784313726
