platform,VM_instance,CPU_freq,n_vCPU,mem_size_GB,datasize,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr
AWS,c3.xlarge,2.8,4,7.516179999999999,small,3284904326,wordcount,2025-04-22T00:00:00.000Z,75.039,6665374.25,87.020625,47.744375
AWS,r3.large,2.5,2,16.106099999999998,medium,259947887,pagerank,2025-04-22T00:00:00.000Z,360.914,8013287.342465754,51.150136986301376,74.08369863013698
AWS,c4.large,2.9,2,4.0265249999999995,medium,6569836163,wordcount,2025-04-22T00:00:00.000Z,167.067,3622927.757575758,93.98424242424242,70.97575757575758
AWS,r4.large,2.3,2,16.374534999999998,medium,259947887,pagerank,2025-04-22T00:00:00.000Z,403.748,7766603.29113924,49.59873417721518,67.47835443037975
AWS,m3.large,2.6,2,7.516179999999999,medium,0,scan,2025-04-22T00:00:00.000Z,42.246,4802606.4,62.7,61.049000000000014
AWS,c4.xlarge,2.9,4,8.053049999999999,small,806020600,lr,2025-04-22T00:00:00.000Z,244.541,6126873.2,79.9908,21.0926
AWS,c3.2xlarge,2.8,8,16.106099999999998,large,200168800,als,2025-04-22T00:00:00.000Z,290.892,11667268.75862069,75.75706896551725,23.55793103448276
AWS,m3.xlarge,2.6,4,16.106099999999998,large,200168800,als,2025-04-22T00:00:00.000Z,172.69,13314550.4,86.45342857142857,73.07285714285712
AWS,c4.large,2.9,2,4.0265249999999995,medium,3799320693,join,2025-04-22T00:00:00.000Z,200.289,3440837.7560975607,89.26024390243902,71.46146341463415
AWS,c3.2xlarge,2.8,8,16.106099999999998,small,3777029616,join,2025-04-22T00:00:00.000Z,203.435,10886137.170731708,70.68463414634145,32.939756097560974
AWS,r3.large,2.5,2,16.106099999999998,small,0,scan,2025-04-22T00:00:00.000Z,40.129,3740398.8,23.875,61.023
AWS,r3.xlarge,2.5,4,32.749069999999996,small,3777029616,join,2025-04-22T00:00:00.000Z,145.742,15036873.931034485,47.86448275862069,65.78241379310344
AWS,m4.xlarge,2.4,4,17.17984,large,4019032802,scan,2025-04-22T00:00:00.000Z,154.713,12447717.75,75.74781250000001,71.62625
AWS,m4.2xlarge,2.4,8,34.35968,medium,0,scan,2025-04-22T00:00:00.000Z,33.792,5703442.0,17.3125,17.265
AWS,r4.large,2.3,2,16.374534999999998,medium,940817222,bayes,2025-04-22T00:00:00.000Z,169.443,8087251.657142857,51.64571428571429,87.34514285714285
AWS,r4.large,2.3,2,16.374534999999998,small,3200000000,terasort,2025-04-22T01:00:00.000Z,185.736,11227088.52631579,71.6978947368421,73.9978947368421
AWS,r3.xlarge,2.5,4,32.749069999999996,medium,940817222,bayes,2025-04-22T01:00:00.000Z,196.131,8989622.631578946,28.61526315789474,41.271578947368425
AWS,c3.large,2.8,2,4.0265249999999995,large,1612040600,lr,2025-04-22T01:00:00.000Z,1418.525,3724158.652631579,96.6099649122807,25.828526315789475
AWS,m4.large,2.4,2,8.58992,large,1881786739,bayes,2025-04-22T01:00:00.000Z,825.885,7721032.698795181,94.43963855421688,94.9572891566265
AWS,r4.large,2.3,2,16.374534999999998,medium,259947887,pagerank,2025-04-22T01:00:00.000Z,403.748,7766603.29113924,49.59873417721518,67.47835443037975
