nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
3843,0,0,6389,10317,9,95,22664,0,2,0,0,2025-04-21T11:00:00.000Z
3833,0,0,6275,9873,3508,87,21005,0,0,0,0,2025-04-21T12:00:00.000Z
3836,0,0,4542,7751,16256,0,15656,0,0,0,0,2025-04-21T13:00:00.000Z
3835,0,0,4138,4865,22299,0,14270,0,0,0,0,2025-04-21T14:00:00.000Z
3832,0,0,3943,6018,22637,0,13348,0,0,0,0,2025-04-21T15:00:00.000Z
3830,0,0,3905,7312,22566,17,12910,0,0,0,0,2025-04-21T16:00:00.000Z
3829,0,0,3942,7135,24017,0,13136,0,0,0,0,2025-04-21T17:00:00.000Z
3834,0,0,4438,6703,24639,0,14615,0,0,0,0,2025-04-21T18:00:00.000Z
3838,0,0,4775,7082,24656,0,15920,0,0,0,0,2025-04-21T19:00:00.000Z
3840,0,0,5211,8193,25386,1,15953,0,0,0,0,2025-04-21T20:00:00.000Z
3841,0,0,5336,10611,25458,27,15263,0,0,0,0,2025-04-21T21:00:00.000Z
3849,0,0,5338,12343,24113,194,15709,0,0,0,0,2025-04-21T22:00:00.000Z
3849,0,0,5741,12936,17553,211,20292,0,0,0,0,2025-04-21T23:00:00.000Z
3851,0,0,6814,12736,4327,213,26404,0,0,0,0,2025-04-22T00:00:00.000Z
3851,0,0,7093,14615,38,209,27284,0,0,0,0,2025-04-22T01:00:00.000Z
3852,0,0,6777,18850,1,148,24723,0,0,0,0,2025-04-22T02:00:00.000Z
3853,0,0,5667,21714,0,6,21483,0,0,0,0,2025-04-22T03:00:00.000Z
3854,0,0,4203,22175,0,5,18948,0,0,0,0,2025-04-22T04:00:00.000Z
3854,0,0,3890,22406,0,5,16194,0,0,0,0,2025-04-22T05:00:00.000Z
3857,0,0,3844,21855,0,6,15388,0,0,0,0,2025-04-22T06:00:00.000Z
3857,0,0,3795,21340,0,14,14898,0,0,0,0,2025-04-22T07:00:00.000Z
3857,0,0,3741,21039,0,23,14452,0,0,0,0,2025-04-22T08:00:00.000Z
3859,0,0,3832,20707,0,27,14169,0,0,0,0,2025-04-22T09:00:00.000Z
3859,0,0,3832,20707,0,27,14169,0,0,0,0,2025-04-22T10:00:00.000Z
