nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
6961,0,0,5221,0,103,1489,13438,2,61,1001,71,2025-04-21T11:00:00.000Z
6967,0,0,4841,0,810,1395,12816,5,61,878,25,2025-04-21T12:00:00.000Z
6964,0,0,4666,0,1584,1264,12077,1,60,621,10,2025-04-21T13:00:00.000Z
6959,0,0,4638,0,1812,1222,11967,0,61,503,7,2025-04-21T14:00:00.000Z
6963,0,0,4658,0,1923,1226,11962,0,61,398,6,2025-04-21T15:00:00.000Z
6964,0,0,4659,0,2054,1251,12007,0,61,333,10,2025-04-21T16:00:00.000Z
6963,0,0,4668,0,2061,1270,12288,0,61,333,13,2025-04-21T17:00:00.000Z
7049,0,0,4719,0,2047,1350,12198,0,59,424,23,2025-04-21T18:00:00.000Z
6964,0,0,4812,0,1998,1393,12729,1,61,614,28,2025-04-21T19:00:00.000Z
6957,0,0,4839,0,1894,1483,13029,0,61,789,29,2025-04-21T20:00:00.000Z
6965,0,0,4895,0,1728,1569,13297,0,61,1016,33,2025-04-21T21:00:00.000Z
6960,0,0,5011,0,1197,1797,13776,0,61,1254,41,2025-04-21T22:00:00.000Z
6960,0,0,5298,0,261,2018,14537,0,58,1637,73,2025-04-21T23:00:00.000Z
6880,0,0,5315,0,1,2011,14825,0,60,1783,77,2025-04-22T00:00:00.000Z
6878,0,0,5144,0,0,1827,14597,0,60,1692,50,2025-04-22T01:00:00.000Z
6854,0,0,4967,0,0,1631,13785,0,57,1210,32,2025-04-22T02:00:00.000Z
6872,0,0,4800,0,0,1421,12951,0,57,788,19,2025-04-22T03:00:00.000Z
6882,0,0,4656,0,0,1318,12224,0,57,533,14,2025-04-22T04:00:00.000Z
6902,0,0,4614,0,0,811,11929,0,58,39,8,2025-04-22T05:00:00.000Z
6888,0,0,4532,0,0,778,11607,0,58,0,0,2025-04-22T06:00:00.000Z
6916,0,0,4448,0,0,783,11551,0,58,0,0,2025-04-22T07:00:00.000Z
6946,0,0,4454,0,0,769,11654,0,59,36,2,2025-04-22T08:00:00.000Z
6952,0,0,4579,0,0,774,11995,0,60,342,19,2025-04-22T09:00:00.000Z
6955,0,0,4924,0,0,854,12849,0,60,777,49,2025-04-22T10:00:00.000Z
