nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
0,3,0,1966,1339,0,332,864,0,133,0,2,2025-04-21T11:00:00.000Z
0,3,0,2196,1390,3,313,918,0,133,0,5,2025-04-21T12:00:00.000Z
0,1,0,2361,1380,193,219,864,0,132,0,1,2025-04-21T13:00:00.000Z
0,0,0,1909,1321,979,191,738,0,129,0,0,2025-04-21T14:00:00.000Z
0,1,0,1201,1470,1552,242,427,0,134,0,0,2025-04-21T15:00:00.000Z
0,2,0,887,1701,1793,273,240,0,134,0,0,2025-04-21T16:00:00.000Z
0,1,0,790,1830,1862,265,232,0,134,0,0,2025-04-21T17:00:00.000Z
0,1,0,725,1885,1860,254,231,0,134,0,0,2025-04-21T18:00:00.000Z
0,1,0,674,1974,1859,237,222,0,133,0,0,2025-04-21T19:00:00.000Z
0,0,0,664,2097,1808,226,231,0,133,0,0,2025-04-21T20:00:00.000Z
0,1,0,729,2076,1726,259,270,0,135,0,0,2025-04-21T21:00:00.000Z
0,1,0,823,2070,1546,278,398,0,136,0,0,2025-04-21T22:00:00.000Z
0,1,0,954,2044,1392,257,619,0,134,0,0,2025-04-21T23:00:00.000Z
0,2,0,1200,2002,1014,295,840,0,131,0,1,2025-04-22T00:00:00.000Z
0,2,0,1961,1610,218,301,1078,0,131,0,4,2025-04-22T01:00:00.000Z
0,0,0,2502,1352,2,202,1098,0,132,0,0,2025-04-22T02:00:00.000Z
0,0,0,2546,1219,0,196,1102,0,130,0,0,2025-04-22T03:00:00.000Z
0,0,0,2424,1126,0,194,973,0,130,0,0,2025-04-22T04:00:00.000Z
0,0,0,2418,1063,0,205,878,0,138,0,0,2025-04-22T05:00:00.000Z
0,0,0,2033,1086,0,204,819,0,139,0,0,2025-04-22T06:00:00.000Z
0,0,0,1981,1120,0,204,821,0,140,0,0,2025-04-22T07:00:00.000Z
0,0,0,1869,1230,0,204,815,0,141,0,0,2025-04-22T08:00:00.000Z
0,0,0,1889,1209,0,204,823,0,140,0,0,2025-04-22T09:00:00.000Z
0,0,0,1905,1291,0,204,803,0,139,0,0,2025-04-22T10:00:00.000Z
