nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
6184,0,0,2151,0,46,182,3360,0,8,1108,0,2025-04-21T11:00:00.000Z
6183,0,0,2115,0,227,160,3306,0,8,642,0,2025-04-21T12:00:00.000Z
6180,0,0,1979,0,370,121,3158,0,9,283,0,2025-04-21T13:00:00.000Z
6180,0,0,1860,0,485,118,3072,0,9,9,0,2025-04-21T14:00:00.000Z
6102,0,0,1759,0,570,110,3051,0,9,0,0,2025-04-21T15:00:00.000Z
6048,0,0,1729,0,603,103,3081,0,9,0,0,2025-04-21T16:00:00.000Z
6009,0,0,1743,0,741,96,3102,0,9,0,0,2025-04-21T17:00:00.000Z
6025,0,0,1816,0,759,97,3183,0,9,0,0,2025-04-21T18:00:00.000Z
6115,0,0,1873,0,734,99,3249,0,9,0,0,2025-04-21T19:00:00.000Z
6176,0,0,1954,0,622,111,3445,0,9,186,0,2025-04-21T20:00:00.000Z
6177,0,0,2046,0,474,192,3611,0,9,558,0,2025-04-21T21:00:00.000Z
6177,0,0,2144,0,230,254,3733,0,9,1170,0,2025-04-21T22:00:00.000Z
6178,0,0,2194,0,31,286,3864,0,8,1561,0,2025-04-21T23:00:00.000Z
6240,0,0,2236,0,0,293,3886,0,8,1712,0,2025-04-22T00:00:00.000Z
6238,0,0,2207,0,0,196,3862,0,8,1199,0,2025-04-22T01:00:00.000Z
6241,0,0,2121,0,0,140,3639,0,8,517,0,2025-04-22T02:00:00.000Z
6236,0,0,1953,0,0,98,3255,0,8,118,0,2025-04-22T03:00:00.000Z
6123,0,0,1791,0,0,61,3035,0,8,0,0,2025-04-22T04:00:00.000Z
5963,0,0,1668,0,0,57,2879,0,8,0,0,2025-04-22T05:00:00.000Z
5871,0,0,1608,0,0,53,2784,0,8,0,0,2025-04-22T06:00:00.000Z
5865,0,0,1576,0,0,54,2773,0,8,0,0,2025-04-22T07:00:00.000Z
5911,0,0,1615,0,0,54,2845,0,8,0,0,2025-04-22T08:00:00.000Z
6132,0,0,1806,0,0,75,3086,0,8,0,0,2025-04-22T09:00:00.000Z
6184,0,0,2015,0,0,147,3268,0,8,816,0,2025-04-22T10:00:00.000Z
