nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
5761,0,0,3353,302,28,1193,7156,7,66,0,0,2025-04-21T11:00:00.000Z
5734,0,0,3368,290,285,1293,6978,6,69,0,0,2025-04-21T12:00:00.000Z
5695,0,0,3309,273,629,1334,6382,11,67,0,0,2025-04-21T13:00:00.000Z
5741,0,0,3307,292,793,1264,6433,8,76,0,0,2025-04-21T14:00:00.000Z
5753,0,0,3282,299,857,1263,6470,7,77,0,0,2025-04-21T15:00:00.000Z
5777,0,0,3268,309,933,1220,6570,7,80,0,0,2025-04-21T16:00:00.000Z
5779,0,0,3265,311,971,1208,6556,7,79,0,0,2025-04-21T17:00:00.000Z
5824,0,0,3297,326,987,1248,6489,7,81,0,0,2025-04-21T18:00:00.000Z
5875,0,0,3327,341,983,1357,6470,7,81,0,0,2025-04-21T19:00:00.000Z
5913,0,0,3380,340,948,1483,6633,7,92,0,0,2025-04-21T20:00:00.000Z
5925,0,0,3437,326,832,1638,6850,8,95,0,0,2025-04-21T21:00:00.000Z
5925,0,0,3486,301,599,1818,7106,12,91,0,1,2025-04-21T22:00:00.000Z
5904,0,0,3532,253,211,1966,7362,16,91,0,0,2025-04-21T23:00:00.000Z
5871,0,0,3567,211,3,1902,7754,20,92,0,0,2025-04-22T00:00:00.000Z
5877,0,0,3573,181,1,1755,7767,18,89,0,0,2025-04-22T01:00:00.000Z
5914,0,0,3525,181,0,1333,7347,8,77,0,0,2025-04-22T02:00:00.000Z
5944,0,0,3418,175,1,1089,6880,8,66,0,0,2025-04-22T03:00:00.000Z
6034,0,0,3326,171,1,845,6382,9,68,0,0,2025-04-22T04:00:00.000Z
4909,0,0,2545,0,0,650,5056,0,24,0,0,2025-04-22T05:00:00.000Z
4907,0,0,2447,0,0,649,4812,0,25,0,0,2025-04-22T06:00:00.000Z
4907,0,0,2445,0,0,683,4628,0,25,0,0,2025-04-22T07:00:00.000Z
4894,0,0,2486,0,0,653,4747,0,25,0,0,2025-04-22T08:00:00.000Z
4913,0,0,2623,0,0,731,4973,0,25,0,0,2025-04-22T09:00:00.000Z
4931,0,0,2769,0,0,907,5614,0,25,0,0,2025-04-22T10:00:00.000Z
