nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
2076,0,11,5592,10990,1,1422,8135,0,29,0,1,2025-04-21T11:00:00.000Z
2137,0,11,5973,10572,85,1569,8951,0,33,0,0,2025-04-21T12:00:00.000Z
2203,0,12,6550,9395,587,1566,9432,0,33,0,1,2025-04-21T13:00:00.000Z
2268,0,11,7374,6743,989,1583,10715,0,56,0,1,2025-04-21T14:00:00.000Z
2268,0,11,7350,6380,1102,1651,10757,0,60,0,0,2025-04-21T15:00:00.000Z
2150,0,11,7488,7135,1015,1661,10093,0,41,0,0,2025-04-21T16:00:00.000Z
2061,0,11,7278,8765,914,1724,8998,0,37,0,0,2025-04-21T17:00:00.000Z
2011,0,11,6937,10897,828,1725,7779,0,37,0,0,2025-04-21T18:00:00.000Z
2007,0,12,6613,12337,761,1671,7261,0,46,0,0,2025-04-21T19:00:00.000Z
1990,0,12,5781,13962,672,1647,6760,0,71,0,0,2025-04-21T20:00:00.000Z
1976,0,11,5225,14725,687,1656,7072,0,73,0,0,2025-04-21T21:00:00.000Z
1953,0,10,4831,15685,601,1474,7200,0,42,0,0,2025-04-21T22:00:00.000Z
1946,0,10,4289,16299,544,1440,7256,0,43,0,0,2025-04-21T23:00:00.000Z
1908,0,9,4303,16460,247,1364,7293,0,43,0,0,2025-04-22T00:00:00.000Z
1926,0,10,4006,17013,10,1366,7000,0,44,0,0,2025-04-22T01:00:00.000Z
1900,0,9,3522,17678,0,1291,6275,0,28,0,0,2025-04-22T02:00:00.000Z
1908,0,9,3076,18338,0,814,4925,0,29,0,0,2025-04-22T03:00:00.000Z
1902,0,9,2893,17825,0,634,4103,0,29,0,0,2025-04-22T04:00:00.000Z
1855,0,9,2775,17195,0,614,3819,0,29,0,0,2025-04-22T05:00:00.000Z
1882,0,9,2739,16645,0,615,3605,0,29,0,0,2025-04-22T06:00:00.000Z
1845,0,9,2665,16495,0,605,3611,0,29,0,0,2025-04-22T07:00:00.000Z
1860,0,9,2737,16319,0,607,3657,0,28,0,0,2025-04-22T08:00:00.000Z
1863,0,9,2824,16145,0,609,3854,0,30,0,0,2025-04-22T09:00:00.000Z
1912,0,10,2897,16569,0,625,3954,0,31,0,0,2025-04-22T10:00:00.000Z
