nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
25355,0,0,10966,7789,447,926,28414,201,1263,0,0,2025-04-21T11:00:00.000Z
25340,0,0,11330,7715,1727,860,29331,205,1369,0,0,2025-04-21T12:00:00.000Z
25476,0,0,11208,7732,3506,856,29229,361,1441,0,0,2025-04-21T13:00:00.000Z
25384,0,0,11581,7645,4940,794,28495,253,1580,0,0,2025-04-21T14:00:00.000Z
25455,0,0,11814,7522,5874,853,27956,197,1562,0,0,2025-04-21T15:00:00.000Z
25398,0,0,11876,7597,7003,757,28211,196,1600,0,0,2025-04-21T16:00:00.000Z
25335,0,0,12094,7558,8036,760,28121,195,1573,0,0,2025-04-21T17:00:00.000Z
25324,0,0,12304,7734,7992,749,28346,194,1572,0,0,2025-04-21T18:00:00.000Z
25344,0,0,11982,7739,7484,1190,28412,190,1520,0,0,2025-04-21T19:00:00.000Z
25421,0,0,11725,7470,6655,1934,29587,190,1755,0,0,2025-04-21T20:00:00.000Z
25481,0,0,12020,7032,5485,2704,30500,190,1787,0,11,2025-04-21T21:00:00.000Z
25650,0,0,12306,6249,3217,3901,32088,312,1681,0,13,2025-04-21T22:00:00.000Z
25801,0,0,12982,5177,1646,4011,33908,417,1707,0,7,2025-04-21T23:00:00.000Z
26038,0,0,13728,4128,57,4137,35878,523,1739,0,1,2025-04-22T00:00:00.000Z
26013,0,0,13931,3333,14,3606,35426,458,1635,0,0,2025-04-22T01:00:00.000Z
26004,0,0,13388,3015,12,2795,33140,208,1295,0,0,2025-04-22T02:00:00.000Z
25800,0,0,12734,2700,12,1848,29856,196,1003,0,0,2025-04-22T03:00:00.000Z
25996,0,0,12187,2343,12,883,27317,200,993,0,0,2025-04-22T04:00:00.000Z
27232,0,0,12012,2262,13,901,27521,211,1048,0,0,2025-04-22T05:00:00.000Z
27168,0,0,11233,2177,13,881,27260,210,1040,0,0,2025-04-22T06:00:00.000Z
27056,0,0,10732,2227,13,857,26861,212,1025,0,0,2025-04-22T07:00:00.000Z
27175,0,0,10544,2344,13,846,27340,215,1043,0,0,2025-04-22T08:00:00.000Z
26999,0,0,10475,2329,0,840,27162,214,1037,0,0,2025-04-22T09:00:00.000Z
26992,0,0,10861,2460,16,2014,29653,384,1206,0,5,2025-04-22T10:00:00.000Z
