nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
1136,817,275,0,2986,10,3790,3967,0,6,0,375,2025-04-21T11:00:00.000Z
1137,827,274,0,2978,10,3934,3734,0,7,0,2629,2025-04-21T12:00:00.000Z
1135,834,269,0,2476,1025,4466,3842,0,6,0,3609,2025-04-21T13:00:00.000Z
1088,796,250,0,1826,8571,3506,2718,0,4,0,519,2025-04-21T14:00:00.000Z
998,721,225,1,1057,14576,2272,1623,0,2,0,0,2025-04-21T15:00:00.000Z
969,694,220,1,723,15692,1731,1251,0,1,0,0,2025-04-21T16:00:00.000Z
898,644,205,0,620,15668,1462,964,0,0,0,0,2025-04-21T17:00:00.000Z
881,630,200,0,664,15486,1369,955,0,0,0,0,2025-04-21T18:00:00.000Z
860,611,194,0,624,15185,1245,926,0,0,0,0,2025-04-21T19:00:00.000Z
847,600,194,0,720,14412,1211,982,0,0,0,0,2025-04-21T20:00:00.000Z
892,634,212,0,982,14642,1273,972,0,1,0,0,2025-04-21T21:00:00.000Z
962,686,230,0,1439,15355,1377,960,0,1,0,0,2025-04-21T22:00:00.000Z
1051,750,256,0,1996,15343,1772,1153,0,0,0,0,2025-04-21T23:00:00.000Z
1119,806,270,1,2534,14827,2736,1817,0,4,0,145,2025-04-22T00:00:00.000Z
1135,819,275,0,2896,7121,4596,2896,0,7,0,3400,2025-04-22T01:00:00.000Z
1134,828,277,0,2917,464,5412,3639,0,7,0,9351,2025-04-22T02:00:00.000Z
1130,819,273,0,3133,0,5484,4085,0,6,0,8805,2025-04-22T03:00:00.000Z
1126,808,269,0,3360,0,5368,4530,0,6,0,6909,2025-04-22T04:00:00.000Z
1131,819,271,0,3398,0,4379,4487,0,0,0,4165,2025-04-22T05:00:00.000Z
1134,816,271,0,3410,0,4229,5232,0,1,0,1507,2025-04-22T06:00:00.000Z
1135,818,271,0,3446,0,3855,5704,0,1,0,872,2025-04-22T07:00:00.000Z
1133,816,268,0,3650,0,3622,6005,0,0,0,273,2025-04-22T08:00:00.000Z
1101,795,263,0,3553,0,3431,5814,0,0,0,0,2025-04-22T09:00:00.000Z
1101,795,263,0,3554,0,3433,5815,0,0,0,0,2025-04-22T10:00:00.000Z
