nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
0,0,0,0,29,2,799,0,0,6,0,0,2025-04-21T11:00:00.000Z
0,0,0,0,30,3,997,0,0,7,0,0,2025-04-21T12:00:00.000Z
0,0,0,0,26,2,975,0,0,7,0,0,2025-04-21T13:00:00.000Z
0,0,0,0,22,1,1085,0,0,6,0,0,2025-04-21T14:00:00.000Z
0,0,0,0,25,1,1055,0,0,6,0,0,2025-04-21T15:00:00.000Z
0,0,0,0,33,0,1083,0,0,5,0,0,2025-04-21T16:00:00.000Z
0,0,0,0,65,0,1053,0,0,6,0,0,2025-04-21T17:00:00.000Z
0,0,0,0,101,0,1143,0,0,6,0,0,2025-04-21T18:00:00.000Z
0,0,0,0,132,0,1162,0,0,8,0,0,2025-04-21T19:00:00.000Z
0,0,0,0,137,0,1136,0,0,8,0,0,2025-04-21T20:00:00.000Z
0,0,0,0,155,0,1137,0,0,8,0,0,2025-04-21T21:00:00.000Z
0,0,0,0,202,0,1294,0,0,10,0,0,2025-04-21T22:00:00.000Z
0,0,0,0,184,0,1265,1,0,9,0,0,2025-04-21T23:00:00.000Z
0,0,0,0,195,0,1376,2,0,9,0,0,2025-04-22T00:00:00.000Z
0,0,0,0,184,0,1446,2,0,10,0,0,2025-04-22T01:00:00.000Z
0,0,0,0,128,0,1176,1,0,7,0,0,2025-04-22T02:00:00.000Z
0,0,0,0,108,0,1183,0,0,7,0,0,2025-04-22T03:00:00.000Z
0,0,0,0,102,0,1413,0,0,7,0,0,2025-04-22T04:00:00.000Z
0,0,0,0,72,0,1176,0,0,6,0,0,2025-04-22T05:00:00.000Z
0,0,0,0,77,1,1299,0,0,7,0,0,2025-04-22T06:00:00.000Z
0,0,0,0,79,1,1184,0,0,7,0,0,2025-04-22T07:00:00.000Z
0,0,0,0,70,1,1023,0,0,6,0,0,2025-04-22T08:00:00.000Z
0,0,0,0,125,3,1427,0,0,8,0,0,2025-04-22T09:00:00.000Z
0,0,0,0,161,3,1450,0,0,9,0,0,2025-04-22T10:00:00.000Z
