nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
0,0,3,4873,835,0,498,520,0,0,0,0,2025-04-21T11:00:00.000Z
0,0,3,4841,825,0,452,482,0,0,0,0,2025-04-21T12:00:00.000Z
0,0,3,4758,841,0,421,490,0,0,0,0,2025-04-21T13:00:00.000Z
0,0,3,4670,855,0,386,428,0,0,0,0,2025-04-21T14:00:00.000Z
0,0,2,4577,838,0,275,358,0,0,0,0,2025-04-21T15:00:00.000Z
0,0,2,4418,801,0,158,317,0,0,0,0,2025-04-21T16:00:00.000Z
0,0,2,4341,735,0,131,269,0,0,0,0,2025-04-21T17:00:00.000Z
0,0,2,4366,676,0,159,260,0,0,0,0,2025-04-21T18:00:00.000Z
0,0,2,4565,634,0,240,293,0,0,0,0,2025-04-21T19:00:00.000Z
0,0,2,4746,591,67,445,332,0,0,0,10,2025-04-21T20:00:00.000Z
0,0,3,4274,518,1439,227,215,0,0,0,0,2025-04-21T21:00:00.000Z
0,0,4,3191,413,3631,43,47,0,0,0,0,2025-04-21T22:00:00.000Z
0,0,4,2559,336,4770,27,47,0,0,0,0,2025-04-21T23:00:00.000Z
0,0,2,2414,235,5398,26,58,0,0,0,0,2025-04-22T00:00:00.000Z
0,0,2,2290,200,5763,26,63,0,0,0,0,2025-04-22T01:00:00.000Z
0,0,2,2276,168,5860,32,64,0,0,0,0,2025-04-22T02:00:00.000Z
0,0,2,2405,166,5710,27,78,0,0,0,0,2025-04-22T03:00:00.000Z
0,0,3,2859,178,5313,30,67,0,0,0,0,2025-04-22T04:00:00.000Z
0,0,2,3650,203,4555,59,196,0,0,0,0,2025-04-22T05:00:00.000Z
0,0,2,4504,277,2863,259,416,0,0,0,0,2025-04-22T06:00:00.000Z
0,0,2,4737,377,522,1276,966,4,0,0,112,2025-04-22T07:00:00.000Z
0,0,2,4829,532,0,1177,1169,3,0,0,139,2025-04-22T08:00:00.000Z
0,0,3,4856,729,0,889,1118,0,0,0,27,2025-04-22T09:00:00.000Z
0,0,3,4889,832,0,661,749,0,0,0,9,2025-04-22T10:00:00.000Z
