nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
119,1,555,280,316,1762,667,199,22,21,1,0,2025-04-21T11:00:00.000Z
137,1,596,277,292,1696,671,191,23,20,1,0,2025-04-21T12:00:00.000Z
171,1,534,283,297,1437,847,193,21,21,1,0,2025-04-21T13:00:00.000Z
168,1,431,330,277,1140,870,203,19,19,3,0,2025-04-21T14:00:00.000Z
123,1,547,335,227,697,1057,195,15,14,50,0,2025-04-21T15:00:00.000Z
97,0,525,348,210,326,1223,225,12,11,47,0,2025-04-21T16:00:00.000Z
52,0,446,240,140,85,1150,233,9,6,69,0,2025-04-21T17:00:00.000Z
26,0,349,111,86,11,933,191,6,4,35,0,2025-04-21T18:00:00.000Z
26,0,417,188,93,0,1149,237,9,3,55,0,2025-04-21T19:00:00.000Z
19,0,393,147,69,0,1179,192,7,2,14,0,2025-04-21T20:00:00.000Z
29,0,358,123,62,0,1065,157,5,3,12,0,2025-04-21T21:00:00.000Z
44,0,315,149,70,0,941,112,4,4,10,0,2025-04-21T22:00:00.000Z
36,0,254,163,78,0,814,279,3,11,8,0,2025-04-21T23:00:00.000Z
31,0,291,195,93,0,963,336,4,13,10,0,2025-04-22T00:00:00.000Z
44,0,335,212,94,0,1090,354,8,15,11,0,2025-04-22T01:00:00.000Z
53,0,309,178,99,0,880,306,9,14,9,0,2025-04-22T02:00:00.000Z
45,0,236,182,90,0,694,320,4,9,8,0,2025-04-22T03:00:00.000Z
47,0,241,199,96,9,603,325,6,8,8,0,2025-04-22T04:00:00.000Z
41,0,321,256,113,86,660,342,8,10,33,0,2025-04-22T05:00:00.000Z
30,0,462,488,133,401,904,264,13,5,90,0,2025-04-22T06:00:00.000Z
38,0,433,615,135,820,896,282,13,8,119,0,2025-04-22T07:00:00.000Z
47,1,431,536,159,1156,1252,202,16,9,46,0,2025-04-22T08:00:00.000Z
55,0,419,414,175,1285,1208,163,16,8,37,0,2025-04-22T09:00:00.000Z
39,0,412,407,167,1236,1184,165,15,8,39,0,2025-04-22T10:00:00.000Z
