Region;Grid;Name;State;PUE;WUE;LandOccupatin(sqm);TMZ_offset
us-east-2;pjm;US East (Ohio);Ohio;1.12;0.10;116550;-5
us-west-1;caiso;US West (N. California);California;1.17;0.51;116550;-7
eu-central-1;germany;Europe (Frankfurt);Frankfurt;1.35;0.01;116550;2
eu-west-2;uk;Europe (London);London;1.11;0.04;116550;1
eu-north-1;sw;Europe (Stockholm);Stockholm;1.10;0.02;116550;1
eu-west-1;ie;Europe (Dublin);Dublin;1.11;0.03;116550;1
eu-south-1;unknown;Europe (Milan);Milan;1.11;0.04;116550;2
us-west-2;unknown;US West (Oregon);Oregon;1.13;0.16;155401;-4
ca-central-1;unknown;Canada (Central);Montreal;1.19;0.04;116550;-7
us-east-1;unknown;US East (W. Virginia);Virginia;1.15;0.12;233101;-5;pjm
ca-west-1;unknown;Canada (West);Calgary;1.17;0.08;116550;-6;aeso
