#aws
eu-south-1;unknown;Europe (Milan);Milan;1.11;0.04;116550;2
us-west-2;unknown;US West (Oregon);Oregon;1.13;0.16;155401;-4
ca-central-1;unknown;Canada (Central);Montreal;1.19;0.04;116550;-7
us-east-1;unknown;US East (W. Virginia);Virginia;1.15;0.12;233101;-5;pjm
ca-west-1;unknown;Canada (West);Calgary;1.17;0.08;116550;-6;aeso
us-east-2;pjm;US East (Ohio);Ohio;1.12;0.10;116550;-5
eu-west-1;ie;Europe (Dublin);Ireland;1.11;0.03;116550;1

#azure
?;unknown;Europe (Denmark);?;1.16;0.01;?;1
uksouth;uk;????

northeurope;ie;North Europe;Ireland,Dublin;1.197;0.03;28149;1
