platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_usr
AWS,m4.xlarge,2.4,10,4,17.18,24060206000,lr,2018-01-06 04:47:10,1594.825,9842080.32375,59.891628125000004,8.319315625
AWS,m4.2xlarge,2.4,6,8,34.36,24060216864,lr,2018-01-06 00:42:35,1481.332,18074122.846240178,54.85620650953984,7.790555555555556
AWS,r4.2xlarge,2.3,10,8,65.5,2993405732,pagerank,2018-01-06 03:34:52,647.263,3511891.153846154,5.5849153846153845,62.290853846153844
AWS,r4.2xlarge,2.3,6,8,65.5,48060216864,lr,2018-01-06 04:15:19,2329.139,29570622.650428507,47.02573071718538,9.055753270184935
AWS,c4.large,2.9,6,2,4.03,51326711030,wordcount,2018-01-05 23:13:19,1637.811,3652591.0267541646,94.75332660272589,57.991373043917214
AWS,r4.2xlarge,2.3,6,8,65.5,2993552826,pagerank,2018-01-06 00:41:36,211.120,20517583.317829456,32.62872093023256,60.47701550387597
AWS,m4.2xlarge,2.4,4,8,34.36,93799252261,join,2018-01-05 08:25:25,353.100,30457323.28169014,92.43996478873238,64.95609154929578
AWS,r4.large,2.3,10,2,16.37,6104010447,pagerank,2018-01-06 11:11:04,2537.644,2953090.762720403,18.858773299748112,69.53743450881612
AWS,r4.2xlarge,2.3,8,8,65.5,51326839918,wordcount,2018-01-04 20:01:54,376.773,9078397.712418301,14.4368954248366,52.121535947712424
AWS,r4.large,2.3,8,2,16.37,2993473154,pagerank,2018-01-05 04:54:02,1680.383,2482616.4035608307,15.854269287833828,69.0027262611276
AWS,m4.xlarge,2.4,6,4,17.18,48060213264,lr,2018-01-06 07:46:25,2660.798,15572998.57242583,94.76572425828971,19.992377835951135
AWS,m4.xlarge,2.4,8,4,17.18,48060214464,lr,2018-01-05 09:22:09,2486.897,14469018.704093568,88.04777944862157,15.004086883876358
