platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr
GCP,n2-standard-4,2.8,8,4,16.0,3232000000000,grep,1898.11,,,
GCP,n2-standard-4,2.8,16,4,16.0,3232000000000,grep,980.95,,,
GCP,n2_highmem-4,2.8,4,4,32.0,3232000000000,grep,4346.76,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,3232000000000,grep,962.37,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,3232000000000,grep,516.92,,,
GCP,n2_standard-8,2.8,4,8,32.0,3232000000000,grep,1732.91,,,
GCP,n2_standard-8,2.8,8,8,32.0,3232000000000,grep,882.6,,,
GCP,n2_highmem-8,2.8,2,8,64.0,3232000000000,grep,3604.06,,,
GCP,n2_highmem-8,2.8,8,8,64.0,3232000000000,grep,876.61,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,3232000000000,grep,744.7,,,
GCP,n2-standard-4,2.8,8,4,16.0,6464000000000,grep,3854.28,,,
GCP,n2-standard-4,2.8,16,4,16.0,6464000000000,grep,1952.74,,,
GCP,n2_highmem-4,2.8,4,4,32.0,6464000000000,grep,8777.13,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,6464000000000,grep,1861.58,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,6464000000000,grep,992.25,,,
GCP,n2_standard-8,2.8,4,8,32.0,6464000000000,grep,3568.8,,,
GCP,n2_standard-8,2.8,8,8,32.0,6464000000000,grep,1799.37,,,
GCP,n2_highmem-8,2.8,2,8,64.0,6464000000000,grep,7048.95,,,
GCP,n2_highmem-8,2.8,8,8,64.0,6464000000000,grep,1787.31,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,6464000000000,grep,1381.21,,,
GCP,n2-standard-4,2.8,8,4,16.0,300817368134,groupbycount,880.98,,,
GCP,n2-standard-4,2.8,16,4,16.0,300817368134,groupbycount,486.87,,,
GCP,n2_highmem-4,2.8,4,4,32.0,300817368134,groupbycount,1803.44,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,300817368134,groupbycount,456.34,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,300817368134,groupbycount,257.56,,,
GCP,n2_standard-8,2.8,4,8,32.0,300817368134,groupbycount,878.41,,,
GCP,n2_standard-8,2.8,8,8,32.0,300817368134,groupbycount,468.03,,,
GCP,n2_highmem-8,2.8,2,8,64.0,300817368134,groupbycount,1594.37,,,
GCP,n2_highmem-8,2.8,8,8,64.0,300817368134,groupbycount,456.04,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,300817368134,groupbycount,237.93,,,
GCP,n2-standard-4,2.8,8,4,16.0,601634629647,groupbycount,1700.32,,,
GCP,n2-standard-4,2.8,16,4,16.0,601634629647,groupbycount,903.87,,,
GCP,n2_highmem-4,2.8,4,4,32.0,601634629647,groupbycount,3485.39,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,601634629647,groupbycount,862.55,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,601634629647,groupbycount,467.63,,,
GCP,n2_standard-8,2.8,4,8,32.0,601634629647,groupbycount,1595.62,,,
GCP,n2_standard-8,2.8,8,8,32.0,601634629647,groupbycount,840.11,,,
GCP,n2_highmem-8,2.8,2,8,64.0,601634629647,groupbycount,3423.42,,,
GCP,n2_highmem-8,2.8,8,8,64.0,601634629647,groupbycount,880.44,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,601634629647,groupbycount,430.16,,,
GCP,n2-standard-4,2.8,8,4,16.0,91626840474,join,665.11,,,
GCP,n2-standard-4,2.8,16,4,16.0,91626840474,join,369.35,,,
GCP,n2_highmem-4,2.8,4,4,32.0,91626840474,join,1221.76,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,91626840474,join,464.86,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,91626840474,join,270.42,,,
GCP,n2_standard-8,2.8,4,8,32.0,91626840474,join,617.77,,,
GCP,n2_standard-8,2.8,8,8,32.0,91626840474,join,353.97,,,
GCP,n2_highmem-8,2.8,2,8,64.0,91626840474,join,1124.58,,,
GCP,n2_highmem-8,2.8,8,8,64.0,91626840474,join,346.85,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,91626840474,join,475.47,,,
GCP,n2-standard-4,2.8,8,4,16.0,184475968825,join,1474.11,,,
GCP,n2-standard-4,2.8,16,4,16.0,184475968825,join,736.0,,,
GCP,n2_highmem-4,2.8,4,4,32.0,184475968825,join,2563.6,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,184475968825,join,1442.63,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,184475968825,join,548.43,,,
GCP,n2_standard-8,2.8,4,8,32.0,184475968825,join,1548.13,,,
GCP,n2_standard-8,2.8,8,8,32.0,184475968825,join,673.3,,,
GCP,n2_highmem-8,2.8,2,8,64.0,184475968825,join,3223.0,,,
GCP,n2_highmem-8,2.8,8,8,64.0,184475968825,join,641.84,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,184475968825,join,2309.16,,,
GCP,n2-standard-4,2.8,8,4,16.0,109265345458,kmeans,1287.46,,,
GCP,n2-standard-4,2.8,16,4,16.0,109265345458,kmeans,609.0,,,
GCP,n2_highmem-4,2.8,4,4,32.0,109265345458,kmeans,2464.4,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,109265345458,kmeans,2966.22,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,109265345458,kmeans,610.77,,,
GCP,n2_standard-8,2.8,4,8,32.0,109265345458,kmeans,1202.19,,,
GCP,n2_standard-8,2.8,8,8,32.0,109265345458,kmeans,616.92,,,
GCP,n2_highmem-8,2.8,2,8,64.0,109265345458,kmeans,2163.78,,,
GCP,n2_highmem-8,2.8,8,8,64.0,109265345458,kmeans,537.56,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,109265345458,kmeans,333.41,,,
GCP,n2-standard-4,2.8,8,4,16.0,218565544905,kmeans,5272.74,,,
GCP,n2-standard-4,2.8,16,4,16.0,218565544905,kmeans,1320.52,,,
GCP,n2_highmem-4,2.8,4,4,32.0,218565544905,kmeans,10179.5,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,218565544905,kmeans,7352.88,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,218565544905,kmeans,2848.54,,,
GCP,n2_standard-8,2.8,4,8,32.0,218565544905,kmeans,11233.5,,,
GCP,n2_standard-8,2.8,8,8,32.0,218565544905,kmeans,1221.84,,,
GCP,n2_highmem-8,2.8,2,8,64.0,218565544905,kmeans,21714.74,,,
GCP,n2_highmem-8,2.8,8,8,64.0,218565544905,kmeans,1188.69,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,218565544905,kmeans,15927.61,,,
GCP,n2-standard-4,2.8,8,4,16.0,246281050657,linearregression,712.42,,,
GCP,n2-standard-4,2.8,16,4,16.0,246281050657,linearregression,329.14,,,
GCP,n2_highmem-4,2.8,4,4,32.0,246281050657,linearregression,1354.56,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,246281050657,linearregression,467.25,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,246281050657,linearregression,241.03,,,
GCP,n2_standard-8,2.8,4,8,32.0,246281050657,linearregression,798.43,,,
GCP,n2_standard-8,2.8,8,8,32.0,246281050657,linearregression,312.44,,,
GCP,n2_highmem-8,2.8,2,8,64.0,246281050657,linearregression,1392.09,,,
GCP,n2_highmem-8,2.8,8,8,64.0,246281050657,linearregression,352.46,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,246281050657,linearregression,612.36,,,
GCP,n2-standard-4,2.8,8,4,16.0,492562101314,linearregression,1429.33,,,
GCP,n2-standard-4,2.8,16,4,16.0,492562101314,linearregression,725.01,,,
GCP,n2_highmem-4,2.8,4,4,32.0,492562101314,linearregression,2779.47,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,492562101314,linearregression,857.29,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,492562101314,linearregression,473.33,,,
GCP,n2_standard-8,2.8,4,8,32.0,492562101314,linearregression,1719.07,,,
GCP,n2_standard-8,2.8,8,8,32.0,492562101314,linearregression,818.98,,,
GCP,n2_highmem-8,2.8,2,8,64.0,492562101314,linearregression,3644.32,,,
GCP,n2_highmem-8,2.8,8,8,64.0,492562101314,linearregression,504.74,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,492562101314,linearregression,2139.07,,,
GCP,n2-standard-4,2.8,8,4,16.0,225224150058,logisticregression,892.87,,,
GCP,n2-standard-4,2.8,16,4,16.0,225224150058,logisticregression,466.37,,,
GCP,n2_highmem-4,2.8,4,4,32.0,225224150058,logisticregression,1821.2,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,225224150058,logisticregression,1491.35,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,225224150058,logisticregression,532.07,,,
GCP,n2_standard-8,2.8,4,8,32.0,225224150058,logisticregression,1427.85,,,
GCP,n2_standard-8,2.8,8,8,32.0,225224150058,logisticregression,640.59,,,
GCP,n2_highmem-8,2.8,2,8,64.0,225224150058,logisticregression,3308.66,,,
GCP,n2_highmem-8,2.8,8,8,64.0,225224150058,logisticregression,352.94,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,225224150058,logisticregression,1684.95,,,
GCP,n2-standard-4,2.8,8,4,16.0,450448411622,logisticregression,3808.35,,,
GCP,n2-standard-4,2.8,16,4,16.0,450448411622,logisticregression,1378.0,,,
GCP,n2_highmem-4,2.8,4,4,32.0,450448411622,logisticregression,8138.77,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,450448411622,logisticregression,4050.0,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,450448411622,logisticregression,1682.72,,,
GCP,n2_standard-8,2.8,4,8,32.0,450448411622,logisticregression,7950.49,,,
GCP,n2_standard-8,2.8,8,8,32.0,450448411622,logisticregression,1513.68,,,
GCP,n2_highmem-8,2.8,2,8,64.0,450448411622,logisticregression,17155.68,,,
GCP,n2_highmem-8,2.8,8,8,64.0,450448411622,logisticregression,1319.67,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,450448411622,logisticregression,11639.9,,,
GCP,n2-standard-4,2.8,8,4,16.0,98698686349,selectwhereorderby,815.88,,,
GCP,n2-standard-4,2.8,16,4,16.0,98698686349,selectwhereorderby,424.73,,,
GCP,n2_highmem-4,2.8,4,4,32.0,98698686349,selectwhereorderby,1580.61,,,
GCP,n2_highcpu-8,2.8,8,8,8.0,98698686349,selectwhereorderby,431.15,,,
GCP,n2-highcpu-8,2.8,16,8,8.0,98698686349,selectwhereorderby,242.87,,,
GCP,n2_standard-8,2.8,4,8,32.0,98698686349,selectwhereorderby,800.17,,,
GCP,n2_standard-8,2.8,8,8,32.0,98698686349,selectwhereorderby,428.42,,,
GCP,n2_highmem-8,2.8,2,8,64.0,98698686349,selectwhereorderby,1493.81,,,
GCP,n2_highmem-8,2.8,8,8,64.0,98698686349,selectwhereorderby,418.24,,,
GCP,n2_highcpu-32,2.8,4,32,32.0,98698686349,selectwhereorderby,233.46,,,
GCP,n2-standard-4,2.8,8,4,16.0,198507674995,selectwhereorderby,1554.76,,,
