platform,VM_instance,CPU_freq,n_nodes,n_vCPU,mem_size_GB,input_size_bytes,algorithm,arrival_time,runtime_sec,avg_kbmemused,avg_%memused,avg_%usr,arrival_location
AWS,m4.large,2.4,4,2,8.58992,102653676867,wordcount,2024-01-22T00:00:00Z,4122.556,7930637.714285715,97.0036742289968,63.78597128677774,aws_us-east-2
AWS,m4.large,2.4,8,2,8.58992,48060202400,lr,2024-01-21T02:00:00Z,5415.409,7939781.344478499,97.11546670381722,22.062333054704183,aws_us-east-2
AWS,r4.large,2.3,6,2,16.374534999999998,48060204216,lr,2024-01-21T04:00:00Z,3936.386,14680349.679104475,93.75023009950247,28.64243936567164,aws_us-east-2
AWS,c4.large,2.9,10,2,4.0265249999999995,48060203000,lr,2024-01-21T05:00:00Z,4658.108,3754662.213282518,97.4011687486767,20.632576752064363,aws_us-east-2
AWS,c4.large,2.9,24,2,4.0265249999999995,48060216864,lr,2024-01-21T07:00:00Z,4373.981,3711527.1035954906,96.28216996864784,8.52063271296111,aws_us-east-2
AWS,c4.2xlarge,2.9,6,8,16.106099999999998,48060216864,lr,2024-01-21T10:00:00Z,4041.769,15093920.3001443,98.00639249639252,9.10186002886003,aws_us-east-2
AWS,c4.large,2.9,12,2,4.0265249999999995,48060213264,lr,2024-01-21T12:00:00Z,4696.213,3749929.935893522,97.27837047438793,17.636683558214788,aws_us-east-2
AWS,c4.2xlarge,2.9,6,8,16.106099999999998,48060216864,lr,2024-01-21T13:00:00Z,4041.769,15093920.3001443,98.00639249639252,9.10186002886003,aws_us-east-2
AWS,r4.large,2.3,4,2,16.374534999999998,102653486885,wordcount,2024-01-21T14:00:00Z,4888.568,14536174.332008982,92.82946104681292,61.792950423216446,aws_us-east-2
AWS,c4.large,2.9,40,2,4.0265249999999995,48060212000,lr,2024-01-21T14:00:00Z,3929.261,3472070.878080388,90.07035407478628,5.204333758334553,aws_us-east-2
AWS,r4.large,2.3,6,2,16.374534999999998,6104217589,pagerank,2024-01-21T15:00:00Z,3953.812,3773347.605442177,24.09695918367347,68.10979455782314,aws_us-east-2
AWS,c4.large,2.9,10,2,4.0265249999999995,48060203000,lr,2024-01-21T15:00:00Z,4658.108,3754662.213282518,97.4011687486767,20.632576752064363,aws_us-east-2
AWS,c4.large,2.9,4,2,4.0265249999999995,102653670064,wordcount,2024-01-22T00:00:00Z,4661.711,3662059.5294542825,94.9989591615468,60.750308998915784,aws_us-east-2
AWS,c4.large,2.9,32,2,4.0265249999999995,48060238592,lr,2024-01-22T00:00:00Z,4034.47,3625875.8881845577,94.06026213239116,5.7887636391977555,aws_us-east-2
AWS,c4.large,2.9,24,2,4.0265249999999995,48060216864,lr,2024-01-21T01:00:00Z,4373.981,3711527.1035954906,96.28216996864784,8.52063271296111,aws_us-east-2
AWS,c4.2xlarge,2.9,10,8,16.106099999999998,48060212000,lr,2024-01-21T02:00:00Z,4142.607,14100343.799621332,91.55502761123384,3.758023035657936,aws_us-east-2
AWS,c4.large,2.9,24,2,4.0265249999999995,48060216864,lr,2024-01-21T04:00:00Z,4373.981,3711527.1035954906,96.28216996864784,8.52063271296111,aws_us-east-2
AWS,c4.large,2.9,12,2,4.0265249999999995,48060213264,lr,2024-01-21T05:00:00Z,4696.213,3749929.935893522,97.27837047438793,17.636683558214788,aws_us-east-2
AWS,c4.xlarge,2.9,10,4,8.053049999999999,48060206000,lr,2024-01-21T10:00:00Z,4427.794,7450329.07171648,97.26900905011787,10.095459730778009,aws_us-east-2
AWS,c4.large,2.9,4,2,4.0265249999999995,6104163694,pagerank,2024-01-21T12:00:00Z,4916.345,3318828.1933876057,86.09501578335271,68.47194882870909,aws_us-east-2
AWS,c4.large,2.9,10,2,4.0265249999999995,48060203000,lr,2024-01-21T12:00:00Z,4658.108,3754662.213282518,97.4011687486767,20.632576752064363,aws_us-east-2
AWS,m4.large,2.4,6,2,8.58992,6104217589,pagerank,2024-01-21T13:00:00Z,3985.015,3802651.4990491713,46.51212849769085,68.22254278728606,aws_us-east-2
AWS,c4.large,2.9,24,2,4.0265249999999995,48060216864,lr,2024-01-21T14:00:00Z,4373.981,3711527.1035954906,96.28216996864784,8.52063271296111,aws_us-east-2
AWS,c4.xlarge,2.9,10,4,8.053049999999999,48060206000,lr,2024-01-21T15:00:00Z,4427.794,7450329.07171648,97.26900905011787,10.095459730778009,aws_us-east-2
AWS,c4.large,2.9,6,2,4.0265249999999995,48060204216,lr,2024-01-21T15:00:00Z,6926.933,3762352.7641054047,97.60060299121626,21.78034580992324,aws_us-east-2
