,,,tot_carbon_footprint_actual,tot_carbon_footprint_actual,migration_carbon_footprint_actual,migration_carbon_footprint_actual,tot_water_footprint_actual,tot_water_footprint_actual,migration_water_footprint_actual,migration_water_footprint_actual,tot_land_use_footprint_actual,tot_land_use_footprint_actual,migration_land_use_footprint_actual,migration_land_use_footprint_actual,tot_carbon_footprint_forecast,tot_carbon_footprint_forecast,migration_carbon_footprint_forecast,migration_carbon_footprint_forecast,tot_water_footprint_forecast,tot_water_footprint_forecast,migration_water_footprint_forecast,migration_water_footprint_forecast,tot_land_use_footprint_forecast,tot_land_use_footprint_forecast,migration_land_use_footprint_forecast,migration_land_use_footprint_forecast,eu-central-1,eu-central-1,eu-north-1,eu-north-1,eu-west-2,eu-west-2,us-east-1,us-east-1,us-west-1,us-west-1,migration,migration,tot_carbon_footprint_forecast_improvement,tot_carbon_footprint_forecast_improvement,tot_carbon_footprint_actual_improvement,tot_carbon_footprint_actual_improvement,tot_water_footprint_forecast_improvement,tot_water_footprint_forecast_improvement,tot_water_footprint_actual_improvement,tot_water_footprint_actual_improvement,tot_land_use_footprint_forecast_improvement,tot_land_use_footprint_forecast_improvement,tot_land_use_footprint_actual_improvement,tot_land_use_footprint_actual_improvement,eu-central-1_perc,eu-central-1_perc,eu-north-1_perc,eu-north-1_perc,eu-west-2_perc,eu-west-2_perc,us-east-1_perc,us-east-1_perc,us-west-1_perc,us-west-1_perc
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
algorithm,mae,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,0.05,autumn,13130688.68710886,211434.45834197893,0.0,0.0,203288.55656379784,7055.228565901983,0.0,0.0,2395.1127827527125,73.77442315325494,0.0,0.0,13553169.745711619,220387.76011892947,0.0,0.0,206582.4528452583,7127.709336402612,0.0,0.0,2420.513768279363,74.29338619945815,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.05,spring,12030578.438292595,233794.17384927397,0.0,0.0,250801.4012817406,9602.051694531365,0.0,0.0,2261.525977058991,65.65312549309974,0.0,0.0,12367952.249346284,239481.19145822423,0.0,0.0,253955.97534378734,9690.754695559737,0.0,0.0,2289.5608603438336,66.30290787233483,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.05,summer,14440230.245490499,228535.83049872034,0.0,0.0,243301.41952608278,9062.252352865136,0.0,0.0,2049.845479967438,62.50286326029222,0.0,0.0,14766129.433104651,237252.55131235803,0.0,0.0,246531.5101065874,9137.767814650564,0.0,0.0,2078.879030417908,62.77075257956715,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.05,winter,17206643.416116085,262968.39581728796,0.0,0.0,214945.94994354306,8442.94819350893,0.0,0.0,2033.912607917866,65.20749106370963,0.0,0.0,17671297.782560233,272627.0031018065,0.0,0.0,218093.53825362885,8523.172311989627,0.0,0.0,2053.25755366543,65.75328868395184,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.1,autumn,13130688.68710886,211434.45834197893,0.0,0.0,203288.55656379784,7055.228565901983,0.0,0.0,2395.1127827527125,73.77442315325494,0.0,0.0,14020395.595757946,230805.89749325774,0.0,0.0,210485.70746978562,7236.005211327461,0.0,0.0,2446.2996037469707,75.35295692118727,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.1,spring,12030578.438292595,233794.17384927397,0.0,0.0,250801.4012817406,9602.051694531365,0.0,0.0,2261.525977058991,65.65312549309974,0.0,0.0,12794884.81644111,252832.36750297886,0.0,0.0,257514.90124098412,9777.49689368112,0.0,0.0,2317.4795758194045,66.79496692052282,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.1,summer,14440230.245490499,228535.83049872034,0.0,0.0,243301.41952608278,9062.252352865136,0.0,0.0,2049.845479967438,62.50286326029222,0.0,0.0,15163837.427480018,253542.5417585379,0.0,0.0,250547.1839822548,9215.232862678855,0.0,0.0,2114.2481410024725,63.14925128831578,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
L,0.1,winter,17206643.416116085,262968.39581728796,0.0,0.0,214945.94994354306,8442.94819350893,0.0,0.0,2033.912607917866,65.20749106370963,0.0,0.0,17932242.81496218,285096.3728246331,0.0,0.0,222094.62121734643,8623.093917171398,0.0,0.0,2093.8786384298232,66.77776728541029,0.0,0.0,14021.333333333334,550.3514028933395,13704.333333333334,731.2908222223678,13324.0,782.5358777717479,14041.0,595.678100990795,14368.333333333334,1058.6602224824858,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.187899863762944,0.8158761458281504,19.7238208656604,0.8859342822096473,19.18471743430861,1.1487504865433016,20.218841941637574,0.9473722817223479,20.684719894630476,1.4921423831159761
