,,,tot_carbon_footprint_actual,tot_carbon_footprint_actual,migration_carbon_footprint_actual,migration_carbon_footprint_actual,tot_water_footprint_actual,tot_water_footprint_actual,migration_water_footprint_actual,migration_water_footprint_actual,tot_land_use_footprint_actual,tot_land_use_footprint_actual,migration_land_use_footprint_actual,migration_land_use_footprint_actual,tot_carbon_footprint_forecast,tot_carbon_footprint_forecast,migration_carbon_footprint_forecast,migration_carbon_footprint_forecast,tot_water_footprint_forecast,tot_water_footprint_forecast,migration_water_footprint_forecast,migration_water_footprint_forecast,tot_land_use_footprint_forecast,tot_land_use_footprint_forecast,migration_land_use_footprint_forecast,migration_land_use_footprint_forecast,centralus,centralus,eastus2,eastus2,southcentralus,southcentralus,swedencentral,swedencentral,migration,migration,tot_carbon_footprint_forecast_improvement,tot_carbon_footprint_forecast_improvement,tot_carbon_footprint_actual_improvement,tot_carbon_footprint_actual_improvement,tot_water_footprint_forecast_improvement,tot_water_footprint_forecast_improvement,tot_water_footprint_actual_improvement,tot_water_footprint_actual_improvement,tot_land_use_footprint_forecast_improvement,tot_land_use_footprint_forecast_improvement,tot_land_use_footprint_actual_improvement,tot_land_use_footprint_actual_improvement,centralus_perc,centralus_perc,eastus2_perc,eastus2_perc,southcentralus_perc,southcentralus_perc,swedencentral_perc,swedencentral_perc
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
algorithm,mae,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,0.05,autumn,412420.01755751885,2298.9036327999124,0.0,0.0,5412.566286986721,60.67899948613917,0.0,0.0,37.83739248560588,0.32816161989573867,0.0,0.0,422650.6474932443,2364.374072538294,0.0,0.0,5533.104211354833,61.44545746261646,0.0,0.0,39.028792650229114,0.3368928102479432,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.05,spring,445416.56449209753,2605.888241995329,0.0,0.0,6579.942722434374,76.9391158119333,0.0,0.0,33.402832010227726,0.24247502047211594,0.0,0.0,455463.48027966585,2681.9196437421792,0.0,0.0,6697.14458328325,77.88660155183385,0.0,0.0,34.63348509316868,0.2520503747600577,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.05,summer,550419.4997379805,3405.451873177583,0.0,0.0,6344.748001019897,68.84418199153887,0.0,0.0,25.003112426012027,0.18613050302872922,0.0,0.0,558921.3134326668,3455.5852140375796,0.0,0.0,6448.609060637966,69.70787702455301,0.0,0.0,26.10544595902664,0.1956202513609185,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.05,winter,560991.0114866956,3158.9612915944913,0.0,0.0,6339.8899911537665,71.91487861636347,0.0,0.0,31.32782975540654,0.2682479334015451,0.0,0.0,573528.028092851,3236.695628687948,0.0,0.0,6454.165772038902,72.71941576110197,0.0,0.0,32.308099273696456,0.27656176403985633,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.1,autumn,412420.01755751885,2298.9036327999124,0.0,0.0,5412.566286986721,60.67899948613917,0.0,0.0,37.83739248560588,0.32816161989573867,0.0,0.0,431911.4809201152,2442.5716702367713,0.0,0.0,5670.092951393169,62.35693627058013,0.0,0.0,40.339186873363296,0.34357590483021355,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.1,spring,445416.56449209753,2605.888241995329,0.0,0.0,6579.942722434374,76.9391158119333,0.0,0.0,33.402832010227726,0.24247502047211594,0.0,0.0,465311.4546479154,2652.6676561917125,0.0,0.0,6826.560327839624,78.548529969472,0.0,0.0,35.964700617956254,0.26329017040139496,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.1,summer,550419.4997379805,3405.451873177583,0.0,0.0,6344.748001019897,68.84418199153887,0.0,0.0,25.003112426012027,0.18613050302872922,0.0,0.0,565460.7301620794,3498.5547038663854,0.0,0.0,6563.965912152015,70.18626423670185,0.0,0.0,27.584384353407472,0.20338496827667918,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
L,0.1,winter,560991.0114866956,3158.9612915944913,0.0,0.0,6339.8899911537665,71.91487861636347,0.0,0.0,31.32782975540654,0.2682479334015451,0.0,0.0,571508.6616562927,3317.938680506442,0.0,0.0,6581.944748021509,73.41862164429017,0.0,0.0,34.19666989085824,0.2835682318814298,0.0,0.0,232230.66666666666,827.2445023490112,231082.66666666666,1473.6054650640667,232000.33333333334,645.33980713006,232093.16666666666,1208.0649678997681,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.040924372058072,0.09680062582874008,24.917055820632143,0.14744094900456695,25.016081891916187,0.07663615216753518,25.025937915393598,0.09343932221887319
